# -----------------------------------------------------------------------
# [y] hybris Platform
#
# Copyright (c) 2018 SAP SE or an SAP affiliate company. All rights reserved.
#
# This software is the confidential and proprietary information of SAP
# ("Confidential Information"). You shall not disclose such Confidential
# Information and shall use it only in accordance with the terms of the
# license agreement you entered into with SAP.
# -----------------------------------------------------------------------

INSERT_UPDATE Title[impex.legacy.mode=true];code[unique=true]
;foo
#% boolean isUsingSLHandler =  impex.getImportProcessor().getHandlerForLine(impex.getCurrentValueLine()) instanceof de.hybris.platform.servicelayer.impex.impl.SLImpexImportCUDHandler;
#% if: isUsingSLHandler;
;barSL
#% endif:
#% if:  !isUsingSLHandler;
;barJalo
#% endif:


